FIPS,2014 EPL_CROWD,2015 EPL_CROWD,2016 EPL_CROWD,2017 EPL_CROWD,2018 EPL_CROWD,2019 EPL_CROWD,2020 EPL_CROWD
01001,70.11,47.44,24.77,27.2,29.64,34.94,40.23
01003,30.98,28.69,26.39,26.22,26.04,31.02,36.0
01005,53.17,48.78,44.38,63.18,81.98,83.74,85.49
01007,2.16,2.32,2.48,6.14,9.81,18.7,27.59
01009,41.67,46.12,50.56,43.8,37.03,42.22,47.42
01011,81.03,41.36,1.69,0.84,0.0,8.4,16.8
01013,21.59,31.44,41.29,42.93,44.57,32.26,19.96
01015,26.65,31.86,37.06,38.81,40.56,32.16,23.77
01017,85.13,86.62,88.12,82.17,76.22,86.55,96.88
01019,62.53,48.32,34.1,33.85,33.59,32.71,31.83
01021,84.05,79.96,75.87,73.26,70.65,71.51,72.37
01023,33.59,31.09,28.59,29.12,29.64,23.22,16.8
01025,40.97,39.0,37.03,40.8,44.57,47.44,50.32
01027,73.42,44.46,15.5,13.86,12.23,16.1,19.96
01029,87.07,65.22,43.36,27.8,12.23,22.03,31.83
01031,19.77,25.34,30.91,30.27,29.64,44.61,59.58
01033,28.81,18.31,7.8,5.51,3.22,4.36,5.51
01035,55.17,55.65,56.13,37.51,18.88,11.38,3.88
01037,45.53,42.57,39.61,25.92,12.23,44.71,77.18
01039,63.32,50.65,37.98,46.48,54.98,55.77,56.56
01041,23.4,16.37,9.33,10.78,12.23,16.1,19.96
01043,52.47,48.98,45.5,45.04,44.57,47.44,50.32
01045,33.72,33.19,32.66,36.61,40.56,27.32,14.07
01047,96.08,93.33,90.58,84.3,78.03,50.9,23.77
01049,84.59,80.37,76.15,75.24,74.34,75.76,77.18
01051,12.99,17.19,21.39,25.52,29.64,28.62,27.59
01053,34.64,48.18,61.73,56.76,51.8,39.7,27.59
01055,47.63,44.06,40.5,31.26,22.03,22.9,23.77
01057,8.88,20.06,31.23,25.06,18.88,13.82,8.75
01059,90.54,89.76,88.98,84.94,80.9,78.22,75.53
01061,68.61,56.4,44.19,46.18,48.17,37.88,27.59
01063,86.44,83.74,81.03,79.53,78.03,65.74,53.44
01065,47.25,62.08,76.92,78.22,79.53,81.77,84.02
01067,11.05,11.7,12.35,11.08,9.81,9.28,8.75
01069,24.42,24.52,24.61,23.32,22.03,26.93,31.83
01071,41.42,48.0,54.57,56.29,58.01,62.72,67.44
01073,33.05,31.66,30.28,31.94,33.59,32.71,31.83
01075,63.29,39.86,16.43,28.5,40.56,45.44,50.32
01077,10.03,17.11,24.2,23.12,22.03,19.42,16.8
01079,15.44,25.79,36.13,34.86,33.59,26.78,19.96
01081,46.04,49.4,52.75,65.39,78.03,81.02,84.02
01083,51.77,52.8,53.84,49.2,44.57,47.44,50.32
01085,78.61,48.72,18.82,29.69,40.56,40.4,40.23
01087,57.56,47.96,38.36,32.2,26.04,26.82,27.59
01089,34.77,30.18,25.6,25.82,26.04,26.82,27.59
01091,30.63,27.59,24.55,16.18,7.8,4.9,2.01
01093,35.02,30.45,25.88,41.94,58.01,58.79,59.58
01095,83.32,81.95,80.58,74.61,68.64,59.48,50.32
01097,56.03,53.82,51.61,51.7,51.8,49.61,47.42
01099,14.42,11.04,7.67,6.67,5.67,4.78,3.88
01101,43.49,45.92,48.36,46.46,44.57,49.0,53.44
01103,67.78,61.27,54.76,58.94,63.13,58.28,53.44
01105,97.8,93.41,89.02,78.83,68.64,34.32,0.0
01107,61.57,51.66,41.74,31.88,22.03,19.42,16.8
01109,32.6,41.37,50.14,43.58,37.03,22.89,8.75
01111,89.72,88.76,87.81,81.08,74.34,70.89,67.44
01113,62.27,68.56,74.85,76.44,78.03,59.13,40.23
01115,44.48,28.82,13.15,12.69,12.23,26.23,40.23
01117,19.45,17.0,14.55,16.72,18.88,15.0,11.11
01119,56.89,32.71,8.53,17.28,26.04,31.02,36.0
01121,60.65,46.24,31.84,28.94,26.04,24.9,23.77
01123,89.02,86.98,84.94,80.58,76.22,76.7,77.18
01125,52.02,53.76,55.49,46.26,37.03,36.52,36.0
01127,36.07,39.68,43.3,47.55,51.8,52.62,53.44
01129,23.18,32.16,41.13,59.58,78.03,64.18,50.32
01131,28.18,16.63,5.09,8.66,12.23,16.1,19.96
01133,27.76,35.64,43.52,31.2,18.88,23.24,27.59
02013,86.88,80.4,73.93,71.28,68.64,72.91,77.18
02016,98.73,98.92,99.11,99.04,98.98,99.19,99.4
02020,89.78,89.26,88.73,89.58,90.42,90.34,90.26
02050,99.94,99.94,99.94,99.94,99.94,99.9,99.87
02060,96.88,94.92,92.96,91.69,90.42,92.34,94.27
02063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02068,97.74,97.39,97.04,78.76,60.49,71.28,82.08
02070,99.81,99.81,99.81,99.81,99.81,99.81,99.81
02090,91.85,93.1,94.36,94.64,94.91,94.29,93.67
02100,87.3,93.08,98.85,98.22,97.58,98.43,99.27
02105,68.58,78.48,88.38,85.18,81.98,85.2,88.42
02110,93.66,92.16,90.67,90.14,89.62,81.8,73.97
02122,88.03,87.87,87.71,89.06,90.42,91.78,93.13
02130,81.73,85.76,89.78,89.7,89.62,90.56,91.5
02150,98.28,98.09,97.9,98.15,98.41,98.44,98.47
02158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02164,99.2,98.8,98.41,97.93,97.45,97.96,98.47
02170,94.59,94.28,93.98,93.17,92.36,92.74,93.13
02180,99.87,99.87,99.87,99.86,99.84,99.84,99.84
02185,99.84,99.87,99.9,99.88,99.87,99.88,99.9
02188,99.97,99.97,99.97,99.97,99.97,99.96,99.94
02195,43.3,57.38,71.47,73.84,76.22,64.83,53.44
02198,97.04,96.1,95.16,95.1,95.03,95.21,95.39
02220,78.51,80.55,82.59,75.61,68.64,61.04,53.44
02230,87.58,80.91,74.24,78.86,83.48,83.75,84.02
02240,98.22,97.93,97.64,98.06,98.47,97.28,96.09
02275,27.7,42.28,56.86,55.92,54.98,45.49,36.0
02282,94.43,95.18,95.92,96.18,96.43,95.78,95.13
02290,99.65,99.68,99.71,99.71,99.71,99.74,99.78
04001,99.68,99.66,99.65,99.57,99.49,99.58,99.68
04003,77.91,77.18,76.44,65.71,54.98,58.7,62.41
04005,97.42,97.24,97.07,96.72,96.37,96.29,96.21
04007,86.28,86.71,87.14,87.5,87.87,87.11,86.35
04009,95.32,96.08,96.85,95.99,95.13,94.4,93.67
04011,98.03,96.18,94.33,89.92,85.51,89.59,93.67
04012,95.7,95.16,94.62,93.79,92.96,93.62,94.27
